Code,ID,Mode,Level,Nationality,L1,Concordance Line,Verb,BCC_COLL,Functions,BCC_Frequency,CSL_Score,CSL_COLL,Reliability,Accessibility,Semantics,Error,Error-Type,Details
W_I_F_HHC_KR_3,HHC_KR,W,L2,KR,KR,[GLCLC text removed],批评,Attracted,DA,86.0,1.85,Attracted,No,3.0,Communication,,,
W_I_F_CQH_VN,CQH_VN,W,L2,VN,VN,[GLCLC text removed],指示,Attracted,DA,0.0,0.0,Repelled,No,5.0,Communication,,,
W_I_F_LZSA_KR_1,LZSA_KR,W,L2,KR,KR,[GLCLC text removed],支持,Attracted,MS,99.0,1.85,Attracted,Yes,3.0,Psych,,,
S_I_M_ZLO_RU_2+I,ZLO_RU,S,L2,RU,RU,[GLCLC text removed],方便,Repelled,EVAL,17.0,0.0,Repelled,No,2.0,Attribute,,,
W_I_F_YZX_KR_1,YZX_KR,W,L2,KR,KR,[GLCLC text removed],无益,Attracted,EVAL,67.0,0.0,Repelled,Yes,6.0,Attribute,,,
S_I_F_DLYH_RU_3,DLYH_RU,S,L2,RU,RU,[GLCLC text removed],必不可少,Attracted,EVAL,2.0,18.54,Repelled,No,5.0,Attribute,,,
S_I_F_DLYH_RU_3,DLYH_RU,S,L2,RU,RU,[GLCLC text removed],是,Attracted,EVAL,4128.0,18.54,Repelled,Yes,1.0,Functional,,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],是,Attracted,EVAL,4128.0,18.54,Repelled,Yes,1.0,Functional,,,
S_I_F_NSJK_UA_3,NSJK_UA,S,L2,UA,Other,[GLCLC text removed],是,Attracted,EVAL,4128.0,18.54,Repelled,Yes,1.0,Functional,,,
S_I_F_NSJK_UA_3,NSJK_UA,S,L2,UA,Other,[GLCLC text removed],是,Attracted,EVAL,4128.0,18.54,Repelled,Yes,1.0,Functional,,,
S_I_M_MSE_RU,MSE_RU,S,L2,RU,RU,[GLCLC text removed],是,Attracted,EVAL,4128.0,18.54,Repelled,Yes,1.0,Functional,,,
S_I_M_MSE_RU,MSE_RU,S,L2,RU,RU,[GLCLC text removed],是,Attracted,EVAL,4128.0,18.54,Repelled,Yes,1.0,Functional,,,
W_I_M_BAOLUO_CL_,BAOLUO_CL,W,L2,CL,ES,[GLCLC text removed],是,Attracted,EVAL,4128.0,18.54,Repelled,Yes,1.0,Functional,,,
W_I_F_LLS_TH_1,LLS_TH,W,L2,TH,TH,[GLCLC text removed],是,Attracted,EVAL,4128.0,18.54,Repelled,Yes,1.0,Functional,,,
W_I_F_LXJ_KR_1,LXJ_KR,W,L2,KR,KR,[GLCLC text removed],是,Attracted,EVAL,4128.0,18.54,Repelled,Yes,1.0,Functional,,,
W_I_F_LNA_KZ_3,LNA_KZ,W,L2,KZ,TK,[GLCLC text removed],是,Attracted,EVAL,4128.0,18.54,Repelled,Yes,1.0,Functional,,,
W_I_F_LNA_KZ_3,LNA_KZ,W,L2,KZ,TK,[GLCLC text removed],是,Attracted,EVAL,4128.0,18.54,Repelled,Yes,1.0,Functional,,,
W_I_F_YR_ES_14,YR_ES,W,L2,ES,ES,[GLCLC text removed],是,Attracted,EVAL,4128.0,18.54,Repelled,Yes,1.0,Functional,,,
S_I_M_HRZ_MG,HRZ_MG,S,L2,MG,Other,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_F_QZY_KR_4,QZY_KR,S,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,61.17,Attracted,Yes,1.0,Functional,,,
W_I_F_LXHU_KR_2,LXHU_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_CMY_VN,CMY_VN,W,L2,VN,VN,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_WAL_EE_8,WAL_EE,W,L2,EE,Other,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
S_I_M_LZL_GB_1,LZL_GB,S,L2,GB,EN,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
S_I_F_YIL_BR_2,YIL_BR,S,L2,BR,PT,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
S_I_F_YIL_BR_2,YIL_BR,S,L2,BR,PT,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
S_I_F_ZYY_VE_2,ZYY_VE,S,L2,VE,ES,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
S_I_F_LXB_KR_1,LXB_KR,S,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
S_I_F_HRC_DE+I_F,HRC_DE,S,L2,DE,Other,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
S_I_M_ZR_CA,ZR_CA,S,L2,CA,EN,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_MX_CS,MX_CS,W,L2,CS,Other,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_QY_TH_1,QY_TH,W,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_JZHX_KR_2,JZHX_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_NM_KZ_1,NM_KZ,W,L2,KZ,TK,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_YSLI_PE_2,YSLI_PE,W,L2,PE,ES,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_M_TZH_IT,TZH_IT,W,L2,IT,Other,[GLCLC text removed],有,Attracted,MS,23048.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_YIL_BR_5,YIL_BR,W,L2,BR,PT,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_YSLI_PE_4,YSLI_PE,W,L2,PE,ES,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_JXY_KR_2,JXY_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_YIL_BR_9,YIL_BR,W,L2,BR,PT,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_JJB_KR_3,JJB_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_M_LWC_TH_3,LWC_TH,W,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_M_LWC_TH_3,LWC_TH,W,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_ZYJA_TH_8,ZYJA_TH,W,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_YYQ_CH_1,YYQ_CH,W,L2,CH,Other,[GLCLC text removed],有,Attracted,MS,23048.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_BYL_BR_6,BYL_BR,W,L2,BR,PT,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_F_MLY_RU_1,MLY_RU,S,L2,RU,RU,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_F_ZYY_VE_3,ZYY_VE,S,L2,VE,ES,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_M_YGEU_UZ_3,YGEU_UZ,S,L2,UZ,TK,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_M_YGEU_UZ_3,YGEU_UZ,S,L2,UZ,TK,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_M_YGEU_UZ_3,YGEU_UZ,S,L2,UZ,TK,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_M_YGEU_UZ_3,YGEU_UZ,S,L2,UZ,TK,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_M_YGEU_UZ_3,YGEU_UZ,S,L2,UZ,TK,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_M_RKHF_VN_1,RKHF_VN,W,L2,VN,VN,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_M_DYSR_JP,DYSR_JP,W,L2,JP,JP,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_MDN_KZ_1,MDN_KZ,W,L2,KZ,TK,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_M_HLH_TH_5,HLH_TH,W,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_M_HLH_TH_5,HLH_TH,W,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_M_CHAL_ID,CHAL_ID,W,L2,ID,Other,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_M_MWH_VE_1,MWH_VE,W,L2,VE,ES,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_M_ZYG_VE_4,ZYG_VE,W,L2,VE,ES,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_M_LDYI_KR_4,LDYI_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_ZYJA_TH_8,ZYJA_TH,W,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_SZYI_KR_3,SZYI_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_QYX_KR_5,QYX_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_CAMLG_TH_1,CAMLG_TH,W,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_NLSA_KG_3,NLSA_KG,W,L2,KG,TK,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_BYL_BR_3,BYL_BR,W,L2,BR,PT,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_LCL_KR_4,LCL_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_PRL_KR_3,PRL_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_QYX_KR_4,QYX_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_ZXLI_TH_8,ZXLI_TH,W,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_CHL_TH_1,CHL_TH,W,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_F_JDYI_KR+I_,JDYI_KR,S,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_F_SF_RU_6,SF_RU,S,L2,RU,RU,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_F_SF_RU_6,SF_RU,S,L2,RU,RU,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_F_ZYY_VE_3,ZYY_VE,S,L2,VE,ES,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_M_ZZY_KR_2,ZZY_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_M_PDL_BR,PDL_BR,W,L2,BR,PT,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_CMY_VN,CMY_VN,W,L2,VN,VN,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_M_LMHA_TH,LMHA_TH,W,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_M_LC_TH_1,LC_TH,W,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_JZUE_KR_4,JZUE_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_SZYI_KR_1,SZYI_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_JRY_KR_2,JRY_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_M_MHMAD_TJ,MHMAD_TJ,S,L2,TJ,Other,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_JZUE_KR_1,JZUE_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_NDS_RU_3,NDS_RU,W,L2,RU,RU,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_F_LXB_KR_3,LXB_KR,S,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_QFM_KR_13,QFM_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_M_SSXN_KR,SSXN_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_DFH_TH_5,DFH_TH,W,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_ZTT_TH_3,ZTT_TH,W,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_CQH_VN,CQH_VN,W,L2,VN,VN,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_F_LLX_KR,LLX_KR,S,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_M_LC_TH_1,LC_TH,W,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_M_ADH_RU_2,ADH_RU,W,L2,RU,RU,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_SJZB_JP_3,SJZB_JP,W,L2,JP,JP,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_PRL_KR_3,PRL_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_JRY_KR_3,JRY_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_JJB_KR_7,JJB_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_LZSA_KR_4,LZSA_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_WAL_EE_2,WAL_EE,W,L2,EE,Other,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_LZYI_KR_3,LZYI_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_JML_KR_2,JML_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
W_I_F_JZUE_KR_5,JZUE_KR,W,L2,KR,KR,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
S_I_F_JAML_TH,JAML_TH,S,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_I_M_KD_EG_3,KD_EG,S,L2,EG,AR,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_JYU_KZ_1,JYU_KZ,W,L2,KZ,TK,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
W_I_M_MSA_RU,MSA_RU,W,L2,RU,RU,[GLCLC text removed],清楚,Repelled,MS,136.0,5.56,Attracted,Yes,2.0,Psych,,,
W_I_M_MSA_RU,MSA_RU,W,L2,RU,RU,[GLCLC text removed],清楚,Repelled,MS,136.0,5.56,Attracted,Yes,2.0,Psych,,,
W_I_M_CXD_KR_1,CXD_KR,W,L2,KR,KR,[GLCLC text removed],温和,Attracted,DISP,14.0,0.0,Repelled,Yes,5.0,Manner,,,
W_I_M_WJH_TH_1,WJH_TH,W,L2,TH,TH,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
S_I_M_ADH_RU_3,ADH_RU,S,L2,RU,RU,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
S_I_M_ADH_RU_3,ADH_RU,S,L2,RU,RU,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
S_I_M_WYMU_SD_3,WYMU_SD,S,L2,SD,AR,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_M_ZCS_TH,ZCS_TH,W,L2,TH,TH,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_F_NSJB_RU_2,NSJB_RU,W,L2,RU,RU,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_M_WJH_TH_1,WJH_TH,W,L2,TH,TH,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_F_LXHU_KR_6,LXHU_KR,W,L2,KR,KR,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_F_MDN_KZ_1,MDN_KZ,W,L2,KZ,TK,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_F_WHY_TH,WHY_TH,W,L2,TH,TH,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_F_YTQZ_JP_1,YTQZ_JP,W,L2,JP,JP,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_F_LZSA_KR_1,LZSA_KR,W,L2,KR,KR,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_F_JZIE_KR_1,JZIE_KR,W,L2,KR,KR,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_F_JZJN_KR,JZJN_KR,W,L2,KR,KR,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_F_PL_KR,PL_KR,W,L2,KR,KR,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_M_ADH_RU_3,ADH_RU,W,L2,RU,RU,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_F_MDN_KZ_3,MDN_KZ,W,L2,KZ,TK,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_F_XH_KG_2,XH_KG,W,L2,KG,TK,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_M_ADH_RU_5,ADH_RU,W,L2,RU,RU,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_F_HHC_KR_1,HHC_KR,W,L2,KR,KR,[GLCLC text removed],烦恼,Repelled,MS,0.0,0.0,Repelled,Yes,3.0,Psych,,,
W_I_F_CLY_KR_2,CLY_KR,W,L2,KR,KR,[GLCLC text removed],热心,Attracted,MS,28.0,1.85,Attracted,Yes,4.0,Manner,,,
W_I_F_CLY_KR_2,CLY_KR,W,L2,KR,KR,[GLCLC text removed],热心,Attracted,MS,28.0,1.85,Attracted,Yes,4.0,Manner,,,
W_I_F_JHXI_KR_1,JHXI_KR,W,L2,KR,KR,[GLCLC text removed],热情,Attracted,DISP,75.0,5.56,Attracted,Yes,2.0,Manner,,,
W_I_F_KELA_PE_1,KELA_PE,W,L2,PE,ES,[GLCLC text removed],热情,Attracted,DISP,75.0,5.56,Attracted,Yes,2.0,Manner,,,
W_I_F_ZXLI_TH_6,ZXLI_TH,W,L2,TH,TH,[GLCLC text removed],热情,Attracted,DISP,75.0,5.56,Attracted,Yes,2.0,Manner,,,
W_I_M_BJM_AO_2,BJM_AO,W,L2,AO,PT,[GLCLC text removed],熟悉,Attracted,MS,1180.0,5.56,Attracted,Yes,3.0,Psych,,,
W_I_M_SMER_KZ_15,SMER_KZ,W,L2,KZ,TK,[GLCLC text removed],熟悉,Attracted,MS,1180.0,5.56,Attracted,Yes,3.0,Psych,,,
W_I_M_ZJX_VE_4,ZJX_VE,W,L2,VE,ES,[GLCLC text removed],熟悉,Attracted,MS,1180.0,5.56,Attracted,Yes,3.0,Psych,,,
W_I_F_PRL_KR_3,PRL_KR,W,L2,KR,KR,[GLCLC text removed],熟悉,Attracted,MS,1180.0,5.56,Attracted,Yes,3.0,Psych,,,
W_I_F_QFM_KR_8,QFM_KR,W,L2,KR,KR,[GLCLC text removed],特别,Repelled,EVAL,1.0,0.0,Repelled,No,2.0,Attribute,,,
W_I_F_QFM_KR_8,QFM_KR,W,L2,KR,KR,[GLCLC text removed],特别,Repelled,EVAL,1.0,0.0,Repelled,No,2.0,Attribute,,,
S_I_M_WYMU_SD_4,WYMU_SD,S,L2,SD,AR,[GLCLC text removed],不理,Repelled,MS,30.0,0.0,Repelled,Yes,6.0,Psych,,,
S_I_M_AMT_TJ,AMT_TJ,S,L2,TJ,Other,[GLCLC text removed],理解,Attracted,MS,390.0,16.68,Repelled,No,3.0,Psych,,,
S_I_M_LMA_PT,LMA_PT,S,L2,PT,PT,[GLCLC text removed],理解,Attracted,MS,390.0,16.68,Repelled,No,3.0,Psych,,,
W_I_M_SZB_KR,SZB_KR,W,L2,KR,KR,[GLCLC text removed],理解,Attracted,MS,390.0,16.68,Repelled,No,3.0,Psych,,,
W_I_F_YLLY_RU_1,YLLY_RU,W,L2,RU,RU,[GLCLC text removed],留意,Attracted,MS,51.0,0.0,Repelled,Yes,6.0,Psych,,,
W_I_F_ZTT_TH_3,ZTT_TH,W,L2,TH,TH,[GLCLC text removed],知道,Repelled,MS,492.0,1.85,Repelled,No,1.0,Psych,,,
W_I_F_JZP_CN_1,JZP_CN,W,L2,CN,Other,[GLCLC text removed],笑,Attracted,DA,3380.0,3.71,Attracted,No,2.0,Physical,,,
W_I_F_JZP_CN_2,JZP_CN,W,L2,CN,Other,[GLCLC text removed],笑,Attracted,DA,3380.0,3.71,Attracted,No,2.0,Physical,,,
W_I_F_KELA_PE_3,KELA_PE,W,L2,PE,ES,[GLCLC text removed],耐心,Repelled,DISP,5.0,0.0,Repelled,Yes,4.0,Manner,,,
S_I_F_PRL_KR_2,PRL_KR,S,L2,KR,KR,[GLCLC text removed],表白,Attracted,DA,126.0,0.0,Repelled,No,3.0,Communication,,,
W_I_F_JZXIU_KR_1,JZXIU_KR,W,L2,KR,KR,[GLCLC text removed],表示,Attracted,DA,5528.0,7.41,Attracted,No,3.0,Communication,,,
W_I_F_LQQ_TH_1,LQQ_TH,W,L2,TH,TH,[GLCLC text removed],表示,Attracted,DA,5528.0,7.41,Attracted,No,3.0,Communication,,,
W_I_F_JHXI_KR_2,JHXI_KR,W,L2,KR,KR,[GLCLC text removed],要求,Attracted,DA,23.0,5.56,Attracted,No,2.0,Communication,,,
W_I_F_KLSDN_RU,KLSDN_RU,W,L2,RU,RU,[GLCLC text removed],要求,Attracted,MS,708.0,0.0,Attracted,No,2.0,Psych,,,
W_I_F_YYL_TH_1,YYL_TH,W,L2,TH,TH,[GLCLC text removed],觉得,Repelled,MS,388.0,0.0,Repelled,No,1.0,Psych,,,
S_I_F_AMI_GN_5,AMI_GN,S,L2,GN,EN,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
S_I_F_AMI_GN_5,AMI_GN,S,L2,GN,EN,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
S_I_F_ASHA_CG_4,ASHA_CG,S,L2,CG,FR,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
S_I_F_ASHA_CG_4,ASHA_CG,S,L2,CG,FR,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
